text,label
बजार ले जसरी ट्रेन्ड चेन्ज गर्यो यो हेर्दा तत्काल प्रोफिट बूकिङ आउने सम्भावना रहेन  भोलि अर्को ट्रेन्ड समात्न सक्ने अबस्था पनि दरो छ,2
1000 अंकले घटेको नेप्से 200 अंकले बढ्नु ठूलो कुरो होइन अझै पनि किन्ने अवसर छ है,1
होइन यो सानिमा बैंक ले bonus घोसणा गरेको २ महिना भयो book close  अहिले सम्म खातामा आउदैन त  ब्याज संग दिने योजना रहेछ कि क्या हो,2
खैँ mbjc प्रति कित्तामा रू10ले बढेर आज रू1100 मात्र भयो 10कित्ताको ,2
राम्रो भयो,1
मध्यभोटेकोशिको शेयर  कर्मचारी संञ्चयकोष का संञ्चयकर्ताहरुको नाममा परेको शेयर कहिले मेरो शेयरमा देखाउँछ होला  प्रष्ट पारिदिनु होला ,2
जानकारीको लागि धन्यवाद रामहरी ब्रदर,1
हाईड्रो र फाइनान्स बुम बुम भन्न छोडिएछ त ,2
profit booking ले यत्रो अङ्कको गिरावट त नआउनु पर्ने केहि हदसम्म प्यानीक नै देखियो अझ पनि लगानीकर्ताहरू विश्वस्त देखिएन फेरि पनि प्यानीक आउने सम्भावना देखियो,2
फेरि भर्चुअल मिटिङ कहिले हुन्छ दाजु हजुर जानकारी गराउनुस् है,2
२५०० क्रस नगर्ने भयो सरहाई क्याप वाला सबै घट्यो हेर्दा हेर्दौ अलि अलि फाइदा भएको पनि लाष्टमा लस नै भयो,2
हो हो सर,2
सगोत्री बन्दु स्वास्थ को ख्याल गर्नु होला,2
यो एनलाइसिस्को एडिक्ट पो भै सकिए छनसुनी चितै मान्दैन,2
आज देखि मैले पहिले चोटि secondary बाट कारोबार गरेको आजै 4300 चुना लाग्यो,2
sir  ntc मा लामो समय लगानीगर्दा कस्तो होला  बताइ दिनु न ,2
मानौ मैले कुनै कम्पनी बुक क्लोज भन्दा 1 दिनअघि किने र प्राइज एडजस्मेन्ट पछि बोनस प्राप्त नगर्दै  बेचे  उक्त कम्पनी बेचिसकेपछि मैले बोनस सेयर प्राप्त गर्छु कि गर्दिन  गरेमा कति समयमा आउँछ,2
७० करोड घुस प्रकरणमा यसरी रिसाए गोकुल बाँस्कोटा गगन र विश्वप्रकाशलाई कालापानी जान चुनौति,2
भारतमधेस र नेपालचीन सम्बन्ध विग्रन्छ मधेसी नेता अरू दलको भरिया  डाराजेश अहिराज,0
भीम रावलको खुलासा  एमाले छोडेर नयाँ दल खोल्ने एमसीसी पढ्न देउवालाई आग्रह पारित गरे दुर्घटना,2
राजनीतिक स्वार्थ र लहडमा जथाभावी विमानस्थल बनाउने होड  galaxy news report,2
प्रचण्डले खुमलटार छोड्दैः पैदल हिँड्ने झुपडीमा डेरा सर्ने  prachanda  yaksha prashna,2
दुर्गा प्रसाईको घोषणा  भीम रावलले एमाले छोड्ने ओली महामानव देउवा प्रचण्ड र माधबको भण्डाफोर,2
कांग्रेस नेता मिनेन्द्र रिजाललाई यक्ष प्रश्नः सक्रिय राजनीतिबाट विश्राम लिएको हो dr minendra rijal,2
प्रधानमन्त्रीलाई अब ठूला भ्रष्टाचारको फाईल खोल्न लगाउँछु  ap center  ap1hd,2
लेखनाथ न्यौपानेको खुलासामहाधिबेशनमा एमसीसीको कुरा गर्नेलाई जुत्ताको माला लगाएर कालो मोसो दलिन्छ ,0
mcc bahas  एमसिसी सन्देह संवाद र समाधान  ap1hd,2
प्रचण्डलाई यक्ष प्रश्न  देउवाको ज्योतिषी को  छबीलाल हो ,2
जे गरेपनि एमसीसीले संकट निम्ताउने देखियो  gebate with nimesh banjade  surendra pandey  ep 47,0
अर्थमन्त्री शर्माको खुलासाएमसीसी सहमतिमा पारितदेउवा प्रचण्ड गठबन्धन निरन्तरमाओवादीमा परिवर्तन,2
प्रचण्डको सनसनीपूर्ण खुलासा माधव बाबुराम बैद्य र विप्लवसहितको नयाँ पार्टी बनाउने,2
धुर्मुस र रविलाई गाली गरेर थाकेनन् हेम थापा  glamour guff  epi 65  prakash subedi  hem thapa,2
सीपी गजुरेलको खुलासा प्रचण्डसँग एकताका लागि यस्तो छ प्रस्ताव बैद्य बाबुराम र बिप्लवले के गर्लान ,2
ओलीसँग अध्यक्षमा पराजित भएका भीम रावलको पहिलो अन्तरवार्ता पार्टीभित्र यो हदसम्मको षड्यन्त्र भयो ,2
यो भ्रस्टाचारि लाई किन येति घमण्ड  ७० करोड को पर्दाफास हुदा नि येति धेरै आत्मबल्pouting_face,0
गोकुले   भन्न बितिकै ७० करोड को मात्र  याद आउँछ७० करोड  ७० करोड,2
backhand_index_pointing_right ७० करोडको अझै कति धेरै चुरिफुरी छ थुक्क हाम्रो देशका नैतिकता नभका चोर नेताहरू angry_faceangry_face,0
किन ल्याको यसलाई  सत्तरी करोडको अनुहार देख्न पनि मन छैन,2
जसले जे सुकै भनेपनि गोकुल बास्कोटा  काभ्रेको बाद्साह हुनraised_fistraised_fistraised_fist,1
यो मान्छेको थोप्डा देख्यो कि खोपडी गरम हुने म मात्र होला कि के हो,0
यस्ता भ्रष्टहरुलाई रोजेर पठाउने हामी जनता कस्ता भन्या,2
कति चुरिफुरी यस्को ,2
औषधिमा भ्रष्टाचार गर्ने यो महा पापी हो,0
म यहाँ dislike गर्न र यो मान्छेलाई बहिस्कार गर्न मात्र आएको हो येस्ता भ्रस्टाचारी नेताहरु सबैलाई सामाजिक संजालबाट सधैको लागि  बहिस्कार गरओ,0
गोकुलजीले भनिसके त  भ्रस्टाचार गरेको रहेछ भने भन्नेहरुकै सबथोक छ छानबिन गरि प्रमाणिात गरेर देखाए भइहाल्यो नि,1
के बोलेको होला यो 70 ले संसद विगठन नै यो अवस्थाको जड हो भन्ने किन बिर्सेकाे,2
स्वच्छ र असल राजनीति गरौं ,1
समृद्ध नेपाल निर्माण गरौं ,1
mcc अब पास हुन्छ त्यो पनि गठबन्धन जोगाउनको निमित्तangry_facepouting_face,2
भ्रष्टाचारिलाई किन अन्तरबार्ता लिएको होला,0
चोरले म चोर हुँ कदापि भन्दैन लाज पचेको ७० करोड वलिको पुच्छरको चुरिफुरी देख्दा उदेक लाग्छ,0
विना स्वार्थ लोभ लालच सबै कम्युनिस्ट एकता जरुरी छ देशका लागि,1
गोकुल काकालाई मान्नैपर्छ बा ७० करोडको टेप नक्कली रे दिउसै रात पार्ने मान्छेहरुको नै बोलबाल छ देशमा कति लाजै नमानी भन्न सकेको हो भने,0
७० करोड चोर i आफु चोर होइन भने किन राजिनामा सुरुक्क देको त्  माग्ने बेलामा ७० करोड माग्ने चोर अईले आएर नकली भोइस हो रे i,0
नेपाली समाज हुइयाॅको पछाडी दौडने समाजबाट कहिले माथि उठ्ने होला,0
70 करोड कता कता लगानी गर्नु भयो जानकारी पाईन्छकी,2
यिनले  प्रश्न उठे पछी राजिनामा दियो रे नैतिकता देखायो साची नै यिनी सहि रहेछन् भने यिनका के पि ले नैतिक्ता बेचेकै रहेछ भन्ने कुरो यिनैले प्रमानित गरेछन्् ,0
धन्यवाद folded_hands,1
